Metode,TF,Order,Direction,SL,TP,Total Entry,WR,PF Net,Net Profit,EV/Trade,Avg Win/Loss,Max DD,Recovery Factor,Max Consecutive Loss,SQN,OOS PF,Monte Carlo Pass,MC 95% DD,Positive Year,Worst Year,Periode Backtest,History,Sample v11,Corr Max,Corr Gate,Python Script,MT5 Script
ND_ALL_BB_SQZ_f13s34_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,581,36.48881239242685,1.0453776718218304,3563.199999999998,6.132874354561098,$387.20 / -$212.80,57.74453105355801,0.48486827781406416,12,0.5117948388368034,1.3407202216066485,FAIL,106.04425829582064,54.166666666666664,2016,2003 – 2026,23.315423226100844,581/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_BB_SQZ_f13s34_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_ENGULF_f8s21_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,410,35.36585365853659,1.0112252208972434,626.666665299995,1.5284552812195,$389.33 / -$210.67,63.23347364023605,0.09201252915485696,9,0.10788730222524175,1.3927719684121946,FAIL,111.6205689246129,41.666666666666664,2006,2003 – 2026,23.315423226100844,410/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_ENGULF_f8s21_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_ALL_STDDEV_BO_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,569,35.85237258347979,1.0169533422597585,1316.7999999999995,2.3142355008787336,$387.20 / -$212.80,37.483212463067424,0.29487638839125746,12,0.19185061015028237,1.1022267206477732,FAIL,117.35296864282357,62.5,2016,2003 – 2026,23.315423226100844,569/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_STDDEV_BO_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_MTF_NATR_EXPAND_f3s8_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,435,35.40229885057471,1.012838416120174,759.9999985499959,1.7471264334482663,$389.33 / -$210.67,38.63636364035986,0.16276413445576077,8,0.12699699627603903,1.0310459693286227,FAIL,103.40922722842312,41.666666666666664,2010,2003 – 2026,23.315423226100844,435/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_NATR_EXPAND_f3s8_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_MTF_REGCH_BO_f8s21_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,455,32.527472527472526,1.1037202125835759,6775.999999999999,14.892307692307691,$487.20 / -$212.80,46.65482909505993,1.1512844909609894,11,0.9686815102489909,1.5167763157894738,FAIL,92.976417247773,54.166666666666664,2017,2003 – 2026,23.315423226100844,455/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_REGCH_BO_f8s21_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_MACD_HIST_f5s13_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,461,31.453362255965292,0.8480211504359794,-10117.333334870003,-21.94649313420825,$389.33 / -$210.67,127.24171541174908,-0.7265415550061346,11,-1.6913665166514504,0.9610126582044145,FAIL,199.51393067050464,29.166666666666668,2017,2003 – 2026,23.315423226100844,461/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_MACD_HIST_f5s13_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_VM_MOMENTUM_XO_f13s34_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,484,30.165289256198346,0.9889442541264402,-795.2000000000007,-1.6429752066115717,$487.20 / -$212.80,90.2967426958582,-0.08397397989355382,13,-0.11250355195098836,1.4239409499358153,FAIL,138.62983359953512,33.333333333333336,2007,2003 – 2026,23.315423226100844,484/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_MOMENTUM_XO_f13s34_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_SUPERT_PROXY_f5s13_GOLD_H1_SL0.015_TP3.0,H1,PENDING,BOTH,0.015,3.0,1009,29.038652130822598,1.0698828835115402,11074.666670030023,10.975883716580796,$578.67 / -$221.33,33.488846764255285,1.808010449214906,14,0.9600546121003125,1.107022685358987,FAIL,138.23738196575272,54.166666666666664,2004,2003 – 2026,23.315423226100844,1009/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_SUPERT_PROXY_f5s13_GOLD_H1_SL0.015_TP3.0.py,NOT PRESENT
ND_ALL_HARAMI_f5s13_GOLD_H1_SL0.02_TP2.5,H1,PENDING,BOTH,0.02,2.5,693,32.03463203463203,1.056145317291814,5712.0,8.242424242424242,$484.00 / -$216.00,54.673788630293785,0.9965108164689462,12,0.6643085395899091,1.223666929340688,FAIL,115.02552539744086,54.166666666666664,2004,2003 – 2026,23.315423226100844,693/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_HARAMI_f5s13_GOLD_H1_SL0.02_TP2.5.py,NOT PRESENT
ND_ALL_ZLEMA_CROSS_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,567,36.15520282186949,1.030407510488929,2342.399999999997,4.131216931216926,$387.20 / -$212.80,41.244271628940446,0.4929292929292919,14,0.34124800622389745,1.2009022556390976,FAIL,109.38568737227591,58.333333333333336,2008,2003 – 2026,23.315423226100844,567/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_ZLEMA_CROSS_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_MTF_WILLR_TREND_f13s34_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,620,32.096774193548384,0.8600717946886212,-12536.000000000004,-20.219354838709684,$387.20 / -$212.80,133.8104502501372,-0.8136878180496527,11,-1.7973638050308893,0.9309319811155796,FAIL,232.79457660806295,54.166666666666664,2008,2003 – 2026,23.315423226100844,620/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_WILLR_TREND_f13s34_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_VM_DEMA_TEMA_f21s55_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,465,30.107526881720432,0.9862348178137648,-952.0000000000009,-2.047311827956991,$487.20 / -$212.80,69.70869533474499,-0.12463343108504384,12,-0.13748638294211368,1.2148227712137487,FAIL,136.10602776675117,58.333333333333336,2017,2003 – 2026,23.315423226100844,465/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_DEMA_TEMA_f21s55_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_ROC_ZERO_f13s34_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,596,36.241610738255034,1.034269885239414,2771.1999999999985,4.6496644295301985,$387.20 / -$212.80,60.44969731911232,0.41297091082498666,12,0.3935691745678562,1.3170068027210882,FAIL,115.1172442127656,58.333333333333336,2006,2003 – 2026,23.315423226100844,596/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_ROC_ZERO_f13s34_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_BB_SQZ_f13s34_GOLD_H1_SL0.012_TP3.0,H1,PENDING,BOTH,0.012,3.0,1474,27.40841248303935,0.9550302363740256,-10906.666671580033,-7.399366805685233,$573.33 / -$226.67,194.37799046916763,-0.5033846155118649,19,-0.7961010997212251,1.0410440703399013,FAIL,328.53309240917844,37.5,2009,2003 – 2026,23.315423226100844,1474/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_BB_SQZ_f13s34_GOLD_H1_SL0.012_TP3.0.py,NOT PRESENT
ND_ALL_BB_SQZ_f13s34_GOLD_H1_SL0.015_TP3.0,H1,PENDING,BOTH,0.015,3.0,994,27.867203219315897,1.0100485624716695,1594.666669980022,1.6042924245271852,$578.67 / -$221.33,72.3443483046724,0.11723191557289166,14,0.14101771069965605,1.0135343134864174,FAIL,194.69198146394675,54.166666666666664,2009,2003 – 2026,23.315423226100844,994/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_BB_SQZ_f13s34_GOLD_H1_SL0.015_TP3.0.py,NOT PRESENT
ND_ALL_BB_SQZ_f21s55_GOLD_H1_SL0.02_TP2.0,H1,PENDING,BOTH,0.02,2.0,843,38.07829181494662,1.0932311621966795,10512.0,12.469750889679716,$384.00 / -$216.00,26.91751085383502,2.687116564417178,9,1.242682325418621,1.0326014637391883,FAIL,89.8839404149201,62.5,2024,2003 – 2026,23.315423226100844,843/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_BB_SQZ_f21s55_GOLD_H1_SL0.02_TP2.0.py,NOT PRESENT
ND_ALL_ENGULF_f5s13_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,430,36.27906976744186,1.052203640369797,3013.333331899995,7.007751934651151,$389.33 / -$210.67,40.08134591072206,0.5212177118790104,9,0.5037239176450432,1.1636193154896755,FAIL,96.88143205202373,50.0,2012,2003 – 2026,23.315423226100844,430/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_ENGULF_f5s13_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_ALL_INSIDE_BAR_f13s34_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,583,37.22126929674099,1.0788035662927806,6137.599999999997,10.527615780445963,$387.20 / -$212.80,41.8157894736844,0.8046989720998502,10,0.876417818267845,1.09172932330827,FAIL,85.95517743687026,37.5,2007,2003 – 2026,23.315423226100844,583/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_INSIDE_BAR_f13s34_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_RSI_MA_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,619,33.11793214862682,0.9009843449202712,-8723.2,-14.092407108239097,$387.20 / -$212.80,105.9060589216233,-0.715391680881773,11,-1.241631731057421,0.9237709658762291,FAIL,208.63011660923334,50.0,2013,2003 – 2026,23.315423226100844,619/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_RSI_MA_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_MTF_REGCH_BO_f8s21_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,450,32.888888888888886,0.905692011043386,-6000.000001500004,-13.333333336666676,$389.33 / -$210.67,99.16916686952439,-0.5236211311117253,12,-1.0033949890215954,1.1293952179752733,FAIL,159.11721714305375,37.5,2015,2003 – 2026,23.315423226100844,450/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_REGCH_BO_f8s21_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_MTF_SUPERT_PROXY_f13s34_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,450,32.44444444444444,1.0995498614958445,6439.999999999998,14.311111111111106,$487.20 / -$212.80,39.68614604248131,1.071761416589001,12,0.9263622833583193,1.33108935128519,FAIL,89.54129778173753,58.333333333333336,2017,2003 – 2026,23.315423226100844,450/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_SUPERT_PROXY_f13s34_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
