rank,source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl_usd,tp_usd,trades,current_net_profit_usd,current_ev_per_trade_usd,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,standard_lot_profit_factor_same_cost_model,standard_lot_win_rate_pct,standard_lot_max_dd_pct_starting_equity_10000,standard_lot_sqn_same_cost_model,history_years,v11_sample_pass,v11_tier1_pass_same_cost_model,net_profit_scale_ratio_vs_qty1
11,1,2b6dd54aa3b6ea04233db7111cdccfb7a1f0bae21ea109eb5b69301459662b3f,KELTNER_BREAKOUT f21/s26 p1=1.8 p2=55.0 p3=1.0 off=5.0 exp=6,KELTNER_BREAKOUT,D1,LIMIT,LONG_ONLY,25.0,25.0,289,107.16439000000082,0.3708110380622866,10716.439000000071,37.08110380622862,1.030112543070539,61.5916955017301,78.47154715578486,0.23311598231525849,25.842573579739906,False,False,99.9999999999999
12,14,b0c3679402db5b994c150198e3193af9db6c722936e7981ac2fa3f6623aafaab,DONCHIAN f20/s100 p1=52.0 p2=62.0 p3=1.0 off=5.0 exp=6,DONCHIAN,D1,LIMIT,BOTH,15.0,23.5,171,104.27882000000054,0.6098176608187166,10427.882000000056,60.981766081871676,1.0609863339939523,52.63157894736842,62.17152011564515,0.3490150981927197,25.842573579739906,False,False,100.00000000000003
13,49,3fd52b89214e89d997d9e68afa1fab248eb3b8dce20f0c31b780350df841f45f,ATR_BREAKOUT f3/s13 p1=2.2 p2=55.0 p3=1.0 off=4.75 exp=4,ATR_BREAKOUT,D1,LIMIT,LONG_ONLY,23.0,23.5,108,102.82343000000081,0.9520687962963038,10282.343000000079,95.20687962963036,1.088608129658273,62.96296296296296,56.80317240539172,0.4224817867484546,25.842573579739906,False,False,99.99999999999997
14,19,0b7c557ac77ab7346317285d9630784cee22c4a6966467bf8b1cdcfaf04777b2,PRICE_STRUCTURE f3/s100 p1=55.0 p2=55.0 p3=1.0 off=5.0 exp=5,PRICE_STRUCTURE,D1,LIMIT,BOTH,22.0,24.5,168,102.05729000000073,0.6074838690476234,10205.729000000076,60.748386904762356,1.0515820179198854,58.333333333333336,61.82945027777529,0.29745041111901116,25.842573579739906,False,False,100.00000000000003
15,8,314dea0a082842a1b077a7a2d82f66d9f2dcb16033a868643bb389661a83a449,PRICE_STRUCTURE f20/s89 p1=52.0 p2=66.0 p3=1.0 off=4.0 exp=5,PRICE_STRUCTURE,D1,LIMIT,BOTH,17.5,17.5,198,99.51028000000073,0.5025771717171754,9951.028000000078,50.257717171717566,1.057484850811664,63.13131313131313,61.09670170337402,0.33624678150623066,25.842573579739906,False,False,100.00000000000006
16,26,87203a33e865cf3a719940f8beb73d2c9fb132b330fc85f49693b802de1fb5ce,PRICE_STRUCTURE f26/s100 p1=55.0 p2=66.0 p3=1.0 off=1.25 exp=6,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,22.0,24.5,153,94.0005200000007,0.6143824836601354,9400.052000000062,61.438248366013475,1.0526771978562204,59.47712418300654,70.64483114031366,0.28803939139250584,25.842573579739906,False,False,99.9999999999999
17,43,f14efb61345072a8099b59ca802f5eb31cf077309759c448577e301263d3ce4c,CANDLE_ENGULFING f26/s144 p1=55.0 p2=52.0 p3=1.0 off=4.0 exp=2,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,19.5,21.5,132,89.35440000000034,0.6769272727272753,8935.440000000035,67.69272727272754,1.0710272483434755,61.36363636363637,49.38852603755757,0.38120205858927775,25.842573579739906,False,False,100.00000000000001
18,22,fd354f7b829768bf93dfce5f7127d73245ab0237fff78c2548f21c6ec1dac37d,PRICE_STRUCTURE f10/s89 p1=66.0 p2=66.0 p3=1.0 off=0.75 exp=8,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,15.0,23.5,166,87.59605000000045,0.5276870481927738,8759.605000000054,52.76870481927743,1.0526838400394045,53.01204819277108,76.05725107232011,0.2975717387706475,25.842573579739906,False,False,100.00000000000011
19,45,1ea0d91bdaff10d7702f1cb4d62f8fec1dc3da0de1ed006e0ddc6945a675bb50,CANDLE_ENGULFING f21/s100 p1=52.0 p2=52.0 p3=1.0 off=4.75 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,23.5,24.5,129,84.25380000000035,0.6531302325581423,8425.38000000003,65.31302325581419,1.057882988725356,60.46511627906977,60.5924547250971,0.3105842850061643,25.842573579739906,False,False,99.99999999999994
20,37,17df1d28f80591a3dae8c617b682ddfe69ed49f593263ce9bbf9175a08932ca4,CANDLE_ENGULFING f50/s55 p1=58.0 p2=52.0 p3=1.0 off=0.5 exp=1,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,24.5,25.0,139,80.14961000000017,0.5766158992805768,8014.9610000000175,57.66158992805768,1.0490926473905804,60.431654676258994,80.22857284320627,0.2748311894588882,25.842573579739906,False,False,100.00000000000001
21,16,5f86606f25856913450bd6d7abc0754b2641b48700e5a3eeea035f39df032438,DONCHIAN f5/s100 p1=66.0 p2=66.0 p3=1.0 off=1.25 exp=2,DONCHIAN,D1,LIMIT,BOTH,23.0,24.0,169,79.86851000000024,0.4725947337278121,7986.851000000024,47.25947337278121,1.0406157788333525,60.35502958579882,74.01584476137924,0.23618101183118254,25.842573579739906,False,False,100.0
22,12,2c3dabfb8fe545c132b891bcb86a2a772f19320d2d8587d8fd00081f56fe97ff,PRICE_STRUCTURE f13/s89 p1=66.0 p2=52.0 p3=1.0 off=2.75 exp=3,PRICE_STRUCTURE,D1,LIMIT,BOTH,17.0,25.0,191,79.75537000000071,0.4175673821989566,7975.537000000069,41.75673821989565,1.0383994435108463,52.87958115183246,70.67710385234422,0.24089720598856793,25.842573579739906,False,False,99.99999999999999
