rank,origin,config_hash,method,family,timeframe,entry_method,direction_mode,sl_pips,tp_pips,total_entry,standard_lot_win_rate_pct,standard_lot_profit_factor_same_cost_model,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,avg_win_loss_ratio,standard_lot_max_dd_pct_starting_equity_10000,recovery_factor,max_consecutive_loss,standard_lot_sqn_same_cost_model,oos_profit_factor,monte_carlo_pass,mc_95pct_max_drawdown_pct,positive_years_pct,worst_year,worst_year_net_profit_usd,backtest_start_utc,backtest_end_utc,history_years,sample_v11,correlation_max,correlation_gate,tier_v1
70,DISCOVERY_PREVIOUS,020e3c510250050b4212525c6ddea49393f0669748c85d591f7e67920a73c4b8,FIB_PULLBACK f3/s5 p1=0.382 p2=5.0 p3=1.0 off=1.0 exp=9,FIB_PULLBACK,D1,LIMIT,LONG_ONLY,2000.0,2100.0,132,64.39393939393939,1.2335626014703238,27798.049999999945,210.59128787878745,0.6820875561071202,37.08529287524765,1.2476575605811608,5,1.1624818489004909,0.5951030674435652,False,215.64706697841055,55.55555555555556,2026,-10641.184000000001,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,132/300 FAIL,0.20518056030350054,PASS,LIBRARY
71,DISCOVERY_PREVIOUS,59d632be600589a90fe0a2a5fec7d34655bea502b13cb5faee8bc2e26e51684b,BOLLINGER_REVERSION_V2 f7/s14 p1=1.5 p2=30.0 p3=1.0 off=4.75 exp=5,BOLLINGER_REVERSION_V2,D1,LIMIT,LONG_ONLY,1650.0,1700.0,121,66.11570247933884,1.227670503170499,20262.07100000004,167.4551322314053,0.6291811328748808,25.177684186115123,2.0034859663528,3,1.0666654008367833,0.8201561536447131,False,189.97341892938022,55.55555555555556,2026,-6163.583999999983,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,121/300 FAIL,0.34194402808603597,PASS,LIBRARY
72,DISCOVERY_PREVIOUS,6779982f53e1496a68cf9f7b9dcba3a221a6e193f332002137616ccdfa4e6e7f,VOLATILITY_REGIME f3/s100 p1=1.3 p2=0.6 p3=1.0 off=1.25 exp=8,VOLATILITY_REGIME,D1,LIMIT,LONG_ONLY,2400.0,2500.0,135,62.96296296296296,1.2232732647713367,33307.888000000035,246.72509629629656,0.7195725086890216,38.92228731696557,1.522920886856126,5,1.064759851629907,0.9388627472322171,False,270.81462919750606,51.851851851851855,2026,-9695.439999999964,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,135/300 FAIL,0.3910356979791697,PASS,LIBRARY
73,DISCOVERY_PREVIOUS,80eaeba7b3e3dd31d13040f98dddf53516be512a046212b9dc1b3f7b6649e6f5,BOLLINGER_REVERSION_V2 f5/s21 p1=1.8 p2=35.0 p3=1.0 off=1.5 exp=5,BOLLINGER_REVERSION_V2,D1,LIMIT,LONG_ONLY,2050.0,2450.0,105,60.0,1.2139818792352066,23225.31200000003,221.1934476190479,0.8093212528234711,40.60487109492083,1.0225043919770906,5,0.9794433148490979,0.4669001219141633,False,232.5077194173416,55.55555555555556,2026,-11437.727999999983,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,105/300 FAIL,0.42585771343570794,PASS,LIBRARY
74,DISCOVERY_PREVIOUS,fa16e61b3d3207ef135a61a394ce0e7e1f6ab82855c128876f06339363f3273f,CHART_PATTERN f5/s21 p1=0.7 p2=55.0 p3=1.0 off=3.0 exp=12,CHART_PATTERN,D1,LIMIT,LONG_ONLY,1800.0,1950.0,120,65.0,1.2122705543167942,20521.915999999987,171.01596666666654,0.6527610677090431,34.193271800861844,1.2940044007175124,4,1.018461267838629,0.7214765514722575,False,204.5318724999997,59.25925925925926,2013,-8547.936000000009,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,120/300 FAIL,0.4320402967587884,PASS,LIBRARY
75,DISCOVERY_PREVIOUS,858d1a72df1e887393300307668dc955ac15db05a1f1ec3bfdb821f12312cd35,DONCHIAN f3/s89 p1=66.0 p2=52.0 p3=1.0 off=2.25 exp=7,DONCHIAN,D1,LIMIT,BOTH,1650.0,2150.0,136,61.029411764705884,1.2100901373054205,24251.61550000002,178.32070220588253,0.7727081599661119,36.102462005261074,1.253161140309975,4,1.085399945251705,0.5754455670617654,False,215.33477198790754,55.55555555555556,2026,-8633.696,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,136/300 FAIL,0.4200368174042456,PASS,LIBRARY
76,DISCOVERY,cbb186a3f7f9fa80c2f6fb3884ba2e9188ef6877101c5ac687bd66b4f49dfe0e,SUPPORT_RESISTANCE f3/s34 p1=1.0 p2=55.0 p3=1.0 off=1.0 exp=9,SUPPORT_RESISTANCE,D1,STOP,LONG_ONLY,2000.0,2500.0,128,59.375,1.2099617090406571,27289.84199999997,213.20189062499978,0.8278685377646603,56.38766744048467,0.8553299304649401,7,1.0656392318770658,0.8623543204612144,False,238.85654377084603,59.25925925925926,2014,-15764.960000000001,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,128/300 FAIL,0.4526071136668781,PASS,LIBRARY
77,DISCOVERY_PREVIOUS,f5dbf4ecc03823ebd3f8c1214aff1af2bb9564c2c227b190b46a6cf74243be8b,VOLUME f14/s21 p1=1.4 p2=55.0 p3=1.0 off=0.5 exp=3,VOLUME,D1,LIMIT,LONG_ONLY,2500.0,2500.0,108,64.81481481481481,1.2086232299188457,24328.449000000048,225.2634166666671,0.6561097533845164,42.682993228991094,0.9516754702585817,5,0.9510722055024924,0.8269488541138708,False,260.5274702040326,55.55555555555556,2026,-12885.024,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,108/300 FAIL,0.4903209121302633,PASS,LIBRARY
78,DISCOVERY,135272e0e2389001c8c49a8c80c4dc9ac3b549d05c4cf07cbd8126f1a2544796,PRICE_STRUCTURE f5/s100 p1=55.0 p2=52.0 p3=1.0 off=1.25 exp=11,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,1500.0,2450.0,153,55.55555555555556,1.2066741800183924,30425.409000000043,198.85888235294146,0.965339344014714,48.593128937811805,0.9247943625415095,5,1.0458659157990122,0.6762460697367664,False,259.8372254811501,55.55555555555556,2025,-13075.424000000003,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,153/300 FAIL,0.4187269657529375,PASS,LIBRARY
79,DISCOVERY_PREVIOUS,12b76bdad4601e58408de5831b22898ea30e80fc1c5d30d4715b64163ecebbb1,BOLLINGER_REVERSION_V2 f5/s13 p1=1.5 p2=35.0 p3=1.0 off=2.25 exp=11,BOLLINGER_REVERSION_V2,D1,LIMIT,LONG_ONLY,2400.0,2500.0,153,62.091503267973856,1.197820711661112,33591.43100000003,219.5518366013074,0.7313010660667841,37.05670871780299,1.9241917364211367,5,1.088737317308386,0.7640343138560604,False,275.5839969983092,62.96296296296296,2026,-15543.743999999982,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,153/300 FAIL,0.4703982449070181,PASS,LIBRARY
