source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl,tp,trades,win_rate_pct,profit_factor_net,net_profit,net_expectancy,max_dd_pct,sqn,history_years,sample_pass_v11,baseline_qualified_v11,target_candidate_v11,correlation_max,correlation_gate
26,e7d524906472e0be91b1f08f8d17dca4272dadb7b319fca010f765cd5a9eee84,CANDLE_ENGULFING f50/s89 p1=52.0 p2=52.0 p3=1.0 off=0.5 exp=4,CANDLE_ENGULFING,D1,LIMIT,BOTH,22.00,25.00,207,57.97101449,1.04654437,109.52766000,0.52911913,4.97006199,0.32097728,25.84257358,false,false,false,,N/A — belum pre-portfolio
27,69ed1c08493079b9469843fbadb33780372f4ce5774f85c857a2a30a2e4c94de,ATR_BREAKOUT f5/s8 p1=2.2 p2=55.0 p3=1.0 off=2.5 exp=3,ATR_BREAKOUT,D1,LIMIT,LONG_ONLY,23.50,23.50,21,71.42857143,1.60538348,108.50675000,5.16698810,0.52161755,1.03573065,25.84257358,false,false,false,,N/A — belum pre-portfolio
28,2b6dd54aa3b6ea04233db7111cdccfb7a1f0bae21ea109eb5b69301459662b3f,KELTNER_BREAKOUT f21/s26 p1=1.8 p2=55.0 p3=1.0 off=5.0 exp=6,KELTNER_BREAKOUT,D1,LIMIT,LONG_ONLY,25.00,25.00,289,61.59169550,1.03011254,107.16439000,0.37081104,6.95173861,0.23311598,25.84257358,false,false,false,,N/A — belum pre-portfolio
29,ea9deacbf2e5d46a73288c7697913e67c3236423cff887ce3140d8df4fb8844f,MOMENTUM_RSI_ROC f89/s100 p1=0.3 p2=66.0 p3=1.0 off=2.75 exp=7,MOMENTUM_RSI_ROC,D1,LIMIT,BOTH,11.00,25.00,37,45.94594595,1.30316432,106.88131000,2.88868405,1.07986194,0.59588279,25.84257358,false,false,false,,N/A — belum pre-portfolio
30,cc3e6be09cca7d018ab7918106953b89ced4f30f91840a058b6278627c6f525d,DONCHIAN f50/s100 p1=58.0 p2=66.0 p3=1.0 off=4.75 exp=6,DONCHIAN,D1,LIMIT,SHORT_ONLY,23.00,25.00,35,62.85714286,1.29302536,105.49435000,3.01412429,0.80347138,0.74030425,25.84257358,false,false,false,,N/A — belum pre-portfolio
31,b0c3679402db5b994c150198e3193af9db6c722936e7981ac2fa3f6623aafaab,DONCHIAN f20/s100 p1=52.0 p2=62.0 p3=1.0 off=5.0 exp=6,DONCHIAN,D1,LIMIT,BOTH,15.00,23.50,171,52.63157895,1.06098633,104.27882000,0.60981766,2.72049673,0.34901510,25.84257358,false,false,false,,N/A — belum pre-portfolio
32,3fd52b89214e89d997d9e68afa1fab248eb3b8dce20f0c31b780350df841f45f,ATR_BREAKOUT f3/s13 p1=2.2 p2=55.0 p3=1.0 off=4.75 exp=4,ATR_BREAKOUT,D1,LIMIT,LONG_ONLY,23.00,23.50,108,62.96296296,1.08860813,102.82343000,0.95206880,1.98631352,0.42248179,25.84257358,false,false,false,,N/A — belum pre-portfolio
33,0b7c557ac77ab7346317285d9630784cee22c4a6966467bf8b1cdcfaf04777b2,PRICE_STRUCTURE f3/s100 p1=55.0 p2=55.0 p3=1.0 off=5.0 exp=5,PRICE_STRUCTURE,D1,LIMIT,BOTH,22.00,24.50,168,58.33333333,1.05158202,102.05729000,0.60748387,3.12444595,0.29745041,25.84257358,false,false,false,,N/A — belum pre-portfolio
34,11e5349e61e19f882c4fabfd8e4d1a03695f539a68d718deb4520e85b7050328,ZSCORE_REVERSION f26/s55 p1=1.3 p2=30.0 p3=1.0 off=2.5 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,17.00,17.00,60,65.00000000,1.23184205,101.34946000,1.68915767,1.04525320,0.77692819,25.84257358,false,false,false,,N/A — belum pre-portfolio
35,314dea0a082842a1b077a7a2d82f66d9f2dcb16033a868643bb389661a83a449,PRICE_STRUCTURE f20/s89 p1=52.0 p2=66.0 p3=1.0 off=4.0 exp=5,PRICE_STRUCTURE,D1,LIMIT,BOTH,17.50,17.50,198,63.13131313,1.05748485,99.51028000,0.50257717,3.00297059,0.33624678,25.84257358,false,false,false,,N/A — belum pre-portfolio
