Date,Open,High,Low,Close,Volume
2025-10-22T06:00:00Z,4134.905,4161.535,4127.715,4155.785,33865.0
2025-10-22T07:00:00Z,4155.75,4156.59,4129.505,4132.99,49483.0
2025-10-22T08:00:00Z,4132.865,4135.94,4053.35,4070.68,88273.0
2025-10-22T09:00:00Z,4070.595,4101.695,4061.605,4069.8,63468.0
2025-10-22T10:00:00Z,4069.705,4090.755,4023.51,4035.405,54556.0
2025-10-22T11:00:00Z,4035.4,4045.205,4015.125,4028.23,73500.0
2025-10-22T12:00:00Z,4028.26,4053.42,4023.32,4033.87,66167.0
2025-10-22T13:00:00Z,4034.005,4085.48,4033.37,4075.975,84964.0
2025-10-22T14:00:00Z,4075.835,4078.745,4011.095,4014.955,89977.0
2025-10-22T15:00:00Z,4015.085,4047.34,4014.955,4037.12,66864.0
2025-10-22T16:00:00Z,4037.13,4064.12,4023.09,4059.27,57792.0
2025-10-22T17:00:00Z,4059.08,4071.025,4044.02,4069.97,48040.0
2025-10-22T18:00:00Z,4069.95,4081.73,4066.59,4077.03,30713.0
2025-10-22T19:00:00Z,4077.035,4113.8,4076.64,4102.105,39667.0
2025-10-22T20:00:00Z,4102.12,4107.21,4088.52,4099.4,19637.0
2025-10-22T22:00:00Z,4110.085,4111.195,4092.59,4102.325,20744.0
2025-10-22T23:00:00Z,4102.335,4104.89,4080.6,4087.64,31624.0
2025-10-23T00:00:00Z,4087.645,4096.73,4065.9,4082.15,54510.0
2025-10-23T01:00:00Z,4082.17,4093.095,4071.845,4073.165,51891.0
2025-10-23T02:00:00Z,4073.185,4085.495,4071.96,4082.61,38637.0
2025-10-23T03:00:00Z,4082.615,4101.035,4077.89,4091.4,34074.0
2025-10-23T04:00:00Z,4091.405,4093.2,4079.895,4089.605,21878.0
2025-10-23T05:00:00Z,4089.68,4110.63,4084.075,4110.55,28956.0
2025-10-23T06:00:00Z,4110.56,4137.745,4110.48,4113.775,56843.0
2025-10-23T07:00:00Z,4113.755,4121.24,4092.06,4094.205,47356.0
2025-10-23T08:00:00Z,4094.23,4118.975,4094.23,4116.33,31847.0
2025-10-23T09:00:00Z,4116.43,4125.43,4111.07,4124.635,19320.0
2025-10-23T10:00:00Z,4124.66,4125.55,4101.84,4109.16,22320.0
2025-10-23T11:00:00Z,4109.255,4121.115,4107.575,4109.66,28752.0
2025-10-23T12:00:00Z,4109.57,4129.25,4100.14,4127.135,39376.0
2025-10-23T13:00:00Z,4127.225,4150.99,4125.785,4145.12,61664.0
2025-10-23T14:00:00Z,4145.01,4154.79,4136.14,4148.365,68930.0
2025-10-23T15:00:00Z,4148.395,4151.965,4137.145,4141.945,55811.0
2025-10-23T16:00:00Z,4141.95,4148.74,4125.75,4132.995,33763.0
2025-10-23T17:00:00Z,4132.99,4139.28,4125.105,4137.81,35303.0
2025-10-23T18:00:00Z,4137.805,4143.6,4133.155,4136.35,31820.0
2025-10-23T19:00:00Z,4136.315,4138.31,4116.61,4118.45,34512.0
2025-10-23T20:00:00Z,4118.55,4126.075,4107.535,4126.075,13865.0
2025-10-23T22:00:00Z,4125.85,4128.8,4111.465,4116.275,8955.0
2025-10-23T23:00:00Z,4116.345,4122.885,4106.035,4121.665,12748.0
2025-10-24T00:00:00Z,4121.435,4133.895,4117.805,4132.87,15642.0
2025-10-24T01:00:00Z,4132.9,4144.535,4112.035,4118.79,29107.0
2025-10-24T02:00:00Z,4118.79,4119.24,4109.425,4109.71,20838.0
2025-10-24T03:00:00Z,4109.67,4123.665,4107.58,4122.475,21331.0
2025-10-24T04:00:00Z,4122.44,4123.405,4102.8,4111.555,25963.0
2025-10-24T05:00:00Z,4111.92,4118.025,4102.825,4104.5,25822.0
2025-10-24T06:00:00Z,4104.525,4104.81,4081.425,4092.3,45307.0
2025-10-24T07:00:00Z,4092.29,4096.095,4069.78,4074.3,37897.0
2025-10-24T08:00:00Z,4074.315,4077.895,4047.555,4065.515,43151.0
2025-10-24T09:00:00Z,4065.5,4073.735,4054.285,4060.875,28235.0
2025-10-24T10:00:00Z,4060.92,4070.855,4053.545,4054.865,21226.0
2025-10-24T11:00:00Z,4054.875,4065.71,4043.515,4061.46,38080.0
2025-10-24T12:00:00Z,4061.52,4094.18,4059.9,4082.265,55917.0
2025-10-24T13:00:00Z,4082.36,4122.315,4078.975,4106.9,75575.0
2025-10-24T14:00:00Z,4106.885,4135.32,4102.145,4117.63,62900.0
2025-10-24T15:00:00Z,4117.615,4131.91,4113.27,4130.545,49861.0
2025-10-24T16:00:00Z,4130.55,4138.67,4121.9,4129.495,41458.0
2025-10-24T17:00:00Z,4129.535,4134.39,4105.805,4107.73,31949.0
2025-10-24T18:00:00Z,4107.775,4113.73,4102.035,4110.43,24339.0
2025-10-24T19:00:00Z,4110.48,4117.68,4102.37,4104.205,22319.0
2025-10-24T20:00:00Z,4104.195,4114.605,4096.625,4114.125,14357.0
2025-10-26T22:00:00Z,4085.7,4109.0,4071.925,4081.875,30481.0
2025-10-26T23:00:00Z,4081.91,4088.785,4061.675,4064.665,24647.0
2025-10-27T00:00:00Z,4064.66,4084.435,4058.205,4081.27,23674.0
2025-10-27T01:00:00Z,4081.295,4097.87,4074.94,4082.065,40319.0
2025-10-27T02:00:00Z,4082.075,4082.375,4070.345,4071.755,29337.0
2025-10-27T03:00:00Z,4071.745,4081.875,4065.34,4069.745,24629.0
2025-10-27T04:00:00Z,4069.715,4071.94,4053.71,4068.835,26671.0
2025-10-27T05:00:00Z,4068.855,4084.68,4068.55,4079.87,26139.0
2025-10-27T06:00:00Z,4079.865,4085.17,4074.055,4078.325,32173.0
2025-10-27T07:00:00Z,4078.33,4079.87,4064.02,4068.945,35384.0
2025-10-27T08:00:00Z,4068.93,4070.455,4024.34,4043.58,45276.0
2025-10-27T09:00:00Z,4043.545,4050.41,4029.91,4039.96,40321.0
2025-10-27T10:00:00Z,4039.77,4047.805,4028.895,4037.565,28057.0
2025-10-27T11:00:00Z,4037.62,4041.545,4015.29,4024.16,45562.0
2025-10-27T12:00:00Z,4024.155,4046.655,4022.555,4046.06,54110.0
2025-10-27T13:00:00Z,4046.115,4050.61,4013.525,4022.23,77073.0
2025-10-27T14:00:00Z,4022.23,4023.665,3983.09,3988.225,97484.0
2025-10-27T15:00:00Z,3988.235,3993.72,3971.445,3989.965,73748.0
2025-10-27T16:00:00Z,3989.98,4000.585,3984.25,3999.44,58171.0
2025-10-27T17:00:00Z,3999.47,4009.075,3990.81,4006.635,55154.0
2025-10-27T18:00:00Z,4006.645,4010.305,3997.905,3999.875,53780.0
2025-10-27T19:00:00Z,3999.89,4005.67,3985.735,3990.35,54953.0
2025-10-27T20:00:00Z,3990.34,4000.385,3979.335,3981.985,24372.0
2025-10-27T22:00:00Z,3990.015,3997.02,3983.685,3990.075,10149.0
2025-10-27T23:00:00Z,3990.095,4004.62,3983.25,3998.66,19274.0
2025-10-28T00:00:00Z,3998.655,4009.7,3972.93,4006.67,29706.0
2025-10-28T01:00:00Z,4006.65,4019.805,4004.355,4011.08,41013.0
2025-10-28T02:00:00Z,4011.1,4013.935,3980.5,3984.03,32492.0
2025-10-28T03:00:00Z,3984.015,3994.58,3983.375,3993.07,19549.0
2025-10-28T04:00:00Z,3993.155,3994.495,3963.62,3973.695,27526.0
2025-10-28T05:00:00Z,3973.94,3980.1,3959.02,3966.535,27726.0
2025-10-28T06:00:00Z,3966.545,3968.585,3938.335,3942.525,36767.0
2025-10-28T07:00:00Z,3942.515,3948.905,3921.72,3932.495,38278.0
2025-10-28T08:00:00Z,3932.64,3935.9,3896.46,3897.275,45419.0
2025-10-28T09:00:00Z,3897.285,3911.26,3886.465,3904.635,38632.0
2025-10-28T10:00:00Z,3904.64,3931.53,3900.065,3926.74,38260.0
2025-10-28T11:00:00Z,3926.84,3930.1,3910.94,3923.455,48467.0
2025-10-28T12:00:00Z,3923.45,3929.89,3905.42,3912.815,51992.0
2025-10-28T13:00:00Z,3912.95,3940.445,3912.26,3939.085,75407.0
2025-10-28T14:00:00Z,3939.015,3954.065,3934.935,3949.72,66599.0
2025-10-28T15:00:00Z,3949.725,3969.615,3947.035,3964.89,43777.0
2025-10-28T16:00:00Z,3964.94,3965.605,3951.155,3958.73,44071.0
2025-10-28T17:00:00Z,3958.735,3970.465,3955.38,3962.35,29135.0
2025-10-28T18:00:00Z,3962.405,3964.155,3945.15,3956.47,29700.0
2025-10-28T19:00:00Z,3956.465,3962.775,3950.805,3960.395,34344.0
2025-10-28T20:00:00Z,3960.28,3961.01,3949.78,3953.0,12387.0
2025-10-28T22:00:00Z,3955.945,3956.025,3907.925,3934.17,19104.0
2025-10-28T23:00:00Z,3934.165,3967.85,3934.11,3964.945,15814.0
2025-10-29T00:00:00Z,3964.94,3982.495,3959.195,3975.325,25527.0
2025-10-29T01:00:00Z,3975.285,3979.9,3966.225,3973.75,38193.0
2025-10-29T02:00:00Z,3973.745,3974.38,3943.825,3961.285,33822.0
2025-10-29T03:00:00Z,3961.315,3972.45,3958.62,3963.525,31489.0
2025-10-29T04:00:00Z,3963.53,3965.075,3951.01,3952.085,22024.0
2025-10-29T05:00:00Z,3952.23,3966.39,3950.79,3962.765,23321.0
2025-10-29T06:00:00Z,3962.725,3984.81,3960.075,3978.38,32208.0
2025-10-29T07:00:00Z,3978.345,4001.765,3974.89,4001.765,39250.0
2025-10-29T08:00:00Z,4001.77,4018.595,4000.485,4017.015,28052.0
2025-10-29T09:00:00Z,4016.98,4029.68,4013.5,4023.935,39566.0
2025-10-29T10:00:00Z,4023.98,4029.835,4017.08,4023.59,36107.0
2025-10-29T11:00:00Z,4023.605,4028.565,4013.54,4016.61,43464.0
2025-10-29T12:00:00Z,4016.64,4030.34,4013.53,4025.55,52029.0
2025-10-29T13:00:00Z,4025.56,4025.79,4002.39,4012.47,64063.0
2025-10-29T14:00:00Z,4012.475,4022.51,4007.19,4008.45,64823.0
2025-10-29T15:00:00Z,4008.45,4012.025,3989.52,3993.1,63458.0
2025-10-29T16:00:00Z,3993.225,4001.24,3991.435,3992.865,37626.0
2025-10-29T17:00:00Z,3992.795,3997.94,3985.98,3994.84,32321.0
2025-10-29T18:00:00Z,3994.9,4007.875,3942.71,3969.4,111497.0
2025-10-29T19:00:00Z,3969.315,3979.9,3927.86,3945.825,87418.0
2025-10-29T20:00:00Z,3945.845,3954.375,3927.955,3930.615,27582.0
